USGS National Map
36.10887726983653,-114.9304126198568,1459:1
36.10993746211457,-114.9295724113824,1468:1
36.11060294183234,-114.9269811527516,1462:1
36.11058270059982,-114.9272502602214,1460:1
36.11059295005806,-114.9273910466855,1460:1
36.11055841372746,-114.9279722437973,1462:1
36.11055703956342,-114.9283952318862,1467:1
36.11022768125338,-114.933808623771,1498:1
36.11019057659976,-114.9332757781869,1496:1
36.10822829832147,-114.9305742180537,1485:1
36.10818985573748,-114.9307561504517,1485:1
36.10878728225605,-114.9311762177745,1471:1
36.10886947425952,-114.9312962527394,1471:1
36.10911540529899,-114.9315083731143,1475:1
36.11282704468871,-114.9265279457944,1480:1
36.11248361518074,-114.9291352886543,1514:1
36.11285137626118,-114.9271496993872,1481:1
36.11151853156818,-114.932198680718,1532:1
36.11156905444608,-114.9318607908644,1529:1
36.1118725676594,-114.9315724629802,1526:1
36.11216713838255,-114.9311077525545,1526:1
36.11236780124205,-114.9306953743182,1527:1
36.11468202495092,-114.9260462135871,1486:1
36.11340193113628,-114.9268602131267,1486:1
36.11348457785133,-114.9266325308642,1482:1
36.11355789826941,-114.9268125745357,1486:1
36.11359033640049,-114.9263950608807,1480:1
36.11381825142699,-114.926683444076,1481:1
36.1155697621495,-114.9319563488733,1545:1
36.11531508288859,-114.9296274276508,1514:1
36.11542560743703,-114.9311771741607,1532:1
36.11516114409766,-114.9266817132038,1508:1
36.11519817129074,-114.9268162160025,1508:1
36.11520385054872,-114.9270348875152,1505:1
36.11520171342756,-114.9271395661446,1505:1
36.11519850970796,-114.9274045953241,1503:1
36.11588635935562,-114.9271464007048,1480:1
36.11607698214318,-114.9285374238905,1500:1
36.11605087466012,-114.9316902842812,1572:1
36.11613341244601,-114.9314788076641,1568:1
36.11607811260711,-114.9310777417943,1551:1
36.11593008469441,-114.930791505927,1546:1
36.11627936936419,-114.9304028946715,1543:1
36.11598452793196,-114.9218091480254,1412:1
36.11650040153103,-114.9234945015845,1430:1
36.11541801509603,-114.9259031087477,1480:1
36.11593757737558,-114.9257829732923,1470:1
36.1159748580999,-114.9255215721154,1464:1
36.11621909393889,-114.9251877621089,1459:1
36.11636149708065,-114.9247625968972,1453:1
36.11418694516897,-114.9206608615369,1411:1
36.11558266963888,-114.92158459893,1413:1
36.11546034654032,-114.9215952007841,1413:1
36.11533972983792,-114.921572976304,1413:1
36.11517345905786,-114.9214280947407,1411:1
36.11505911005094,-114.9215333820911,1411:1
36.11062399416004,-114.9231611771865,1413:1
36.11185384161809,-114.9230272180271,1413:1
36.11325685498188,-114.9208620685137,1412:1
36.11311000867434,-114.9211962815136,1412:1
36.11303191332577,-114.9213586180291,1412:1
36.11289738895,-114.9217333765915,1411:1
36.11270399667848,-114.9220919727955,1413:1
36.10849765101511,-114.9298473043296,1453:1
36.10911377943442,-114.9291193294921,1453:1
36.11038600193714,-114.926692326468,1453:1
36.11008971267761,-114.9266946236781,1453:1
36.10997083290982,-114.9268341775344,1454:1
36.10960990690274,-114.9274699232439,1450:1
36.10951943433243,-114.9276273160354,1450:1
36.10982098672434,-114.9343213852779,1501:1
36.10909806186597,-114.9333420773481,1486:1
36.10813401819181,-114.93098717895,1484:1
36.1081074695083,-114.9311860213796,1482:1
36.10833558327969,-114.9315981625189,1468:1
36.1083991743139,-114.9317031044814,1469:1
36.10849354245337,-114.9323107433511,1477:1
36.10911725713174,-114.9368975849616,1497:1
36.11032147244686,-114.9352892401688,1522:1
36.11015791673219,-114.9352672811987,1519:1
36.11015829615759,-114.935368926494,1519:1
36.1099952674678,-114.9353795308236,1515:1
36.10979849756198,-114.9356299887364,1512:1
36.1064286896375,-114.9334849431688,1454:1
36.10771473429877,-114.9339245513387,1472:1
36.10882979735388,-114.9360309831793,1496:1
36.10876287283867,-114.935990887665,1496:1
36.10863422673067,-114.9358239131637,1490:1
36.10858506007784,-114.9356866626842,1489:1
36.10830482743015,-114.9351218838944,1482:1
36.10852921321447,-114.9365441908682,1480:1
36.10772543059073,-114.9353199049226,1469:1
36.10823677204983,-114.9362851910644,1475:1
36.10567831821155,-114.933650303535,1452:1
